X,Y,OBJECTID,ASSETID,SearchDescription,Type,SerialNo,ExpectedCommissioning,AssetStage,MaintenanceResp,SigActivity,DrawingRef,SpatialAccuracy,MeterComponent,PropertyUse,NumDials,AccountNo,MeterSize,loaddate,InstallDate,FunctionService
1696379.4343,5670560.9583,1483,40132310,NP-JUNC10470WM,Restricted Flow Meter,R/FMCCABE,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,1912,1,2024/03/22 22:03:57+00,2003/06/04 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1696380.2083,5670561.9258,1484,40132309,NP-JUNC10468WM,Restricted Flow Meter,R/FWINTERS,,In Service,Water,Water Supply,,DIGITISE,REG,RESTRICTED,30,1911,1,2024/03/22 22:03:57+00,2003/06/04 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Rural Water Supply Zone
1693458.154,5675803.64,1485,40194223,NP-FILLI0030WM,Manifold Meter,12W700016,,In Service,Water,Water Supply,WAC12/00018,DIGITISE,REG,Residential,25,30255,50,2024/03/22 22:03:57+00,2012/06/05 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Brooklands Water Supply Zone
1710922.8082,5678728.0259,1486,40110246,MO-INLAN0016WM,Unknown,NO 462,,In Service,Unknown,Water Supply,,DIGITISE,REG,CLUBS & SO,61,815,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Tikorangi/Urenui Water Supply Zone
1677761.0918,5659335.4628,1487,40194229,OK-OXFOR0304WM/1,Manifold Meter,11M585031,,In Service,Water,Water Supply,,DIGITISE,REG,Farm Land,2,32858,20,2024/03/22 22:03:57+00,2012/06/05 00:00:00+00,Water\Okato System\Okato Reticulation\Okato Water Supply Zone
1691448.6614,5674402.9265,1488,40111534,NP-DAVID027AWM/1,Unknown,MN0091,,In Service,Unknown,Water Supply,,DIGITISE,REG,Water Billing Account,74,151,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1691149.2757,5674915.1851,1489,40194589,NP-DAVID027AWM/2,Manifold Meter,96W149350,,In Service,Water,Water Supply,,DIGITISE,REG,HOSPITAL,74,150,0,2024/03/22 22:03:57+00,2008/08/01 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Veale Water Supply Zone
1700868.619,5677820.6272,1490,40194325,BB-ARTHU0001WM,Restricted Flow Meter,RF,,In Service,Water,Water Supply,WAC11/00088,DIGITISE,REG,RESTRICTED,30,0,1,2024/03/22 22:03:57+00,2011/10/13 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
1696550.1701,5677330.2765,1491,40111362,NP-DEVON0688WM,Unknown,NM363,,In Service,Unknown,Water Supply,,DIGITISE,REG,Commercial/Industrial,31,32984,0,2024/03/22 22:03:57+00,1992/08/31 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Fitzroy Industrial Water Supply Zone
1700534.9092,5678718.7194,1492,40194389,BB-CORBE0037WM,Manifold Meter,7003542,,In Service,Water,Water Supply,,DIGITISE,REG,Commercial/Industrial,34,30213,20,2024/03/22 22:03:57+00,2011/09/28 00:00:00+00,Water\New Plymouth System\New Plymouth Reticulation\Bell Block Water Supply Zone
